Airport Code	PageRank
CGO	0.0012873976603710261
HER	0.0012809069296618647
MRS	0.0012671029361967963
TLV	0.0012633825249058386
VCP	0.0012604733388902967
SGN	0.0012548042509795592
DPS	0.0012396957041350698
AYT	0.0012293090525766668
DLC	0.0012262277591018693
CMN	0.0012147627358807414
GLA	0.0012108791816166779
CGN	0.001197713840567879
JNU	0.0011769128029285921
SHE	0.0011736602021878634
AMM	0.001171407732495478
MAA	0.0011661358074185545
DMK	0.0011655334675904345
TFS	0.0011606668154287426
CNS	0.0011590167538476832
SJO	0.0011560433066305378
SSA	0.0011472105177845326
RHO	0.0011466791059352047
YEG	0.0011398499614777608
KWI	0.0011334635589244815
BLR	0.0011329389334286597
ALG	0.00111731993301081
OTP	0.0011162525431596979
YXL	0.0011139250174544394
VLI	0.001102973416498889
HRB	0.0010995966331624064
TNA	0.0010991046318588452
KBP	0.0010978638939803489
EZE	0.0010968507948329817
MHD	0.0010918832927178821
SJU	0.0010809053836254923
VKO	0.001080193659115788
NAN	0.001076650503892632
TSN	0.001073027754497926
MCT	0.0010686450345634797
KWE	0.0010643995441392043
CNF	0.0010631532989923906
CLE	0.0010590480276037046
RIX	0.0010522436404707754
BRS	0.0010471714679488396
UPG	0.0010443055417673364
BGY	0.001043715696528535
GEA	0.0010399427086587587
HAN	0.0010382130421011618
OME	0.0010375205172504865
MAO	0.001032062806600014
SVX	0.0010290834182341833
LTN	0.0010197610865469505
CEB	0.0010059532431528234
MLA	0.0009977759829118858
OVB	0.0009889957181228037
CTS	0.000977660562948012
ADL	0.0009727325737674321
NNG	0.0009696086016946505
ACE	0.0009668974904976238
EMA	0.0009648551699650468
SUB	0.0009630989549353101
CMB	0.0009627318732292372
FAO	0.0009602759021447854
OPO	0.0009559010754005825
GDL	0.0009547552565869099
TYN	0.0009532151502218757
MCI	0.0009530597839059748
OTZ	0.0009518468313971617
YZF	0.0009467226252236738
FUK	0.0009425085487590464
DRW	0.0009417385044738933
FOC	0.0009307302657488348
BNA	0.0009273951197585168
HYD	0.0009262495781672274
NCL	0.000920500570276069
LCA	0.0009159419674495938
HET	0.0009105549432240127
TAS	0.0009100410518501652
NGO	0.0009081245039238211
CFU	0.000908103179653779
BUD	0.000906283041552078
HAV	0.0009059179081779054
NAS	0.000905905173816419
CWB	0.0009019508505606382
POA	0.0009002455765403942
HOU	0.0008958954451314181
LAD	0.0008944508193893874
CTA	0.0008868152537273786
KTM	0.0008842709865528738
TUN	0.0008838488920809784
BSL	0.0008783543630993691
CGH	0.0008728133203493953
PAC	0.0008602056311770975
KEF	0.0008598653764843556
KHI	0.0008556515608299187
WLG	0.0008495427288112978
BGO	0.0008481003554885225
ALA	0.0008459067193047678
SKG	0.0008390538792925102
OAK	0.0008319233680121029
BAH	0.0008318297746760081
AUS	0.0008316499538876216
DMM	0.0008237038517222464
CHC	0.0008103010452921149
PUS	0.0008084379450457968
LOS	0.0008060624169468529
DAC	0.0007976261159113012
HAK	0.0007972928822217977
PSA	0.0007965675889072645
MAH	0.0007955722835466362
SFB	0.0007949603601416871
YWG	0.0007910383884193297
UIO	0.000789621717906594
TLS	0.0007893130881917516
SYX	0.0007883833370970778
RDU	0.0007864715631402751
KHN	0.0007857525562273023
AER	0.0007789467322420365
KWL	0.0007787136641864358
CRL	0.0007746782126306193
CGB	0.0007673635043609593
VLC	0.0007613073401810386
HAJ	0.0007586112901591362
SAT	0.0007569288840676441
BEY	0.0007531216145752808
BLQ	0.0007509729540156486
MTY	0.0007499282899835452
FUE	0.0007465408061061446
YFB	0.0007462268747355282
YOW	0.0007451628407080857
RGN	0.0007425198477943586
SXF	0.0007406955483347079
ACC	0.0007387004599398899
MEM	0.0007361970476177278
NAP	0.0007345423562138577
YRT	0.0007310057263260585
BEL	0.000730926893403034
MSY	0.0007305452592214456
GRO	0.0007304958951199306
SPU	0.0007300005348903848
SAL	0.0007291624266812965
KGS	0.0007290969402080009
KTN	0.0007243441861850228
OLB	0.0007226784677249923
LBA	0.0007196913219917311
HKT	0.0007165683681056601
MFM	0.0007145743013948516
NTE	0.0007137149833678472
BEG	0.000713417289317161
DBV	0.0007133838781503846
KRT	0.0007131553483085472
SJC	0.0007126923836598646
OGG	0.0007094739926618918
LHW	0.0007083008262374035
CVG	0.0007051049662938212
BKI	0.0006991778260092645
MES	0.0006970731141411595
CPT	0.0006938272467595301
